outcome,moderator,n,r_squared,adj_r_squared,b_group,se_group,p_group,ci_group_lower,ci_group_upper,b_moderator,se_moderator,p_moderator,b_interaction,se_interaction,p_interaction,ci_interaction_lower,ci_interaction_upper,p_bonferroni,sig_bonferroni,p_fdr,sig_fdr,Î² (SE)
tia_f,manip_check1_1,255,0.013380263538016246,0.001587995771538342,0.14175974739076747,0.11507229559356023,0.21913217605201704,-0.08487056203609053,0.3683900568176255,-0.06430873680651268,0.04925907813225561,0.19291103777338728,-0.03219918132009303,0.09851815626451133,0.7440650710348089,-0.22622677174246783,0.16182840910228177,1.0,False,0.8455284898122828,False,-0.032 (0.099)
tia_pro,manip_check1_1,255,0.0023366277223901832,-0.009587635691286511,-0.03132547305920161,0.08315944939449782,0.7067209895011657,-0.1951047011594958,0.13245375504109258,-0.008405637857994952,0.03559812371891335,0.8135275677504266,0.04245745896048371,0.07119624743782677,0.5514828392837512,-0.09776071869590085,0.18267563661686825,1.0,False,0.8293861621947037,False,0.042 (0.071)
tia_rc,manip_check1_1,255,0.044626168324554794,0.03320735758739812,-0.1037839008912001,0.06879334744438764,0.13265032908504504,-0.23926966258050997,0.03170186079810977,-0.05654840990940747,0.02944841639999523,0.05595913830146929,0.12912149379380616,0.05889683279999052,0.029273991109704828,0.013126524084774369,0.24511646350283794,0.7318497777426207,False,0.47009677551715295,False,0.129 (0.059)
tia_t,manip_check1_1,255,0.05764566307672714,0.04638246383063227,-0.10271384482551144,0.09703686502511329,0.29084363056094237,-0.2938240910669567,0.08839640141593388,-0.14678724895961962,0.04153863874293559,0.00048758553285147596,0.0814654764971339,0.08307727748587126,0.327734856104257,-0.08215191729732524,0.24508287029159304,1.0,False,0.8293861621947037,False,0.081 (0.083)
tia_up,manip_check1_1,255,0.028104016061031523,0.016487729400406437,-0.003256886203743481,0.09143006847618916,0.9716123897484368,-0.18332476963994704,0.17681099723246008,-0.09782483452770627,0.0391385334191432,0.013078059790407368,0.053204397675212914,0.07827706683828649,0.49732503733274713,-0.10095917216653176,0.20736796751695757,1.0,False,0.8293861621947037,False,0.053 (0.078)
tia_f,manip_check1_2,255,0.009674429750950786,-0.0021621308496353464,0.13249544827039322,0.1216937570599462,0.27730344024587994,-0.10717556616060694,0.3721664627013934,-0.023433282788210268,0.05827727304681163,0.6879527357041335,0.09149028926229014,0.11655454609362301,0.43321912100135196,-0.1380592535712241,0.32103983209580433,1.0,False,0.8293861621947037,False,0.091 (0.117)
tia_pro,manip_check1_2,255,0.022922762455262813,0.011244548460704218,0.03586080368917727,0.08686952854195876,0.6800965974565916,-0.13522527773189366,0.2069468851102482,0.09839223949586512,0.041600484335393935,0.018782903081255155,0.03541015103474162,0.08320096867078769,0.6707656143501524,-0.12845084762886858,0.19927114969835183,1.0,False,0.8455284898122828,False,0.035 (0.083)
tia_rc,manip_check1_2,255,0.0507939619948804,0.03944886990716978,-0.018685675090686513,0.07238081072194893,0.7964966290925433,-0.16123680302177928,0.12386545284040627,0.11700563571981877,0.034662059679156344,0.0008532901766432923,0.008288825203078543,0.06932411935831255,0.9049223975771046,-0.12824227066043387,0.14481992106659097,1.0,False,0.9049223975771046,False,0.008 (0.069)
tia_t,manip_check1_2,255,0.02388890420883716,0.012222237725277418,-0.011265220320835842,0.10424678995264633,0.914032053837606,-0.21657512694832698,0.19404468630665528,0.111658798879629,0.04992218819681394,0.02618756858167687,-0.05768038611170957,0.09984437639362767,0.5639825902923986,-0.25431991433092266,0.13895914210750349,1.0,False,0.8293861621947037,False,-0.058 (0.100)
tia_up,manip_check1_2,255,0.058569449444860866,0.04731729147009822,0.11344849825662749,0.09498537037007251,0.23345734388352268,-0.0736214108553528,0.3005184073686078,0.15625260762938678,0.04548703646138949,0.0006929368953781189,-0.17380190839713977,0.09097407292277879,0.05721408215858687,-0.3529717267271107,0.00536790993283115,1.0,False,0.47009677551715295,False,-0.174 (0.091)
tia_f,manip_check1_3,255,0.017791922415740458,0.006052383639832959,0.11236914494510541,0.11944725882791475,0.34774117528613613,-0.12287748056738024,0.34761577045759107,-0.05514511255565825,0.051391117638706726,0.2842803401110496,0.1540499755013323,0.10278223527741341,0.13518224748387986,-0.048375548942692914,0.3564754999453575,1.0,False,0.6759112374193993,False,0.154 (0.103)
tia_pro,manip_check1_3,255,0.02873967547977152,0.017130986342079546,0.025090309288152347,0.08536227377457467,0.7690563049393377,-0.14302729381626214,0.19320791239256682,0.08603152102539183,0.03672635685827434,0.01993695736572952,0.06194631832363175,0.07345271371654864,0.3998359104881607,-0.08271587992276726,0.20660851657003076,1.0,False,0.8293861621947037,False,0.062 (0.073)
tia_rc,manip_check1_3,255,0.024910921105158246,0.013256469962988793,-0.05761340861667015,0.0723036925552612,0.42630558642831606,-0.20001265538567503,0.08478583815233472,0.06185332876405973,0.031108018771477567,0.04786018778731378,0.01741398729767391,0.06221603754295511,0.7797882240589231,-0.10511802413863926,0.13994599873398708,1.0,False,0.8475958957162207,False,0.017 (0.062)
tia_t,manip_check1_3,255,0.022251205292338705,0.01056496471814361,-0.03883560632267834,0.102830475622542,0.7059976553351808,-0.24135613820778185,0.16368492556242514,0.07319056561890122,0.04424189488664279,0.09931101004964914,-0.1580815992565226,0.08848378977328555,0.07521548408274448,-0.332346903969041,0.01618370545599576,1.0,False,0.47009677551715295,False,-0.158 (0.088)
tia_up,manip_check1_3,255,0.002833175969232049,-0.009085152604840774,0.029503116875513137,0.09634775978523955,0.7596948917040405,-0.16024996400362934,0.2192561977546556,0.03408487958234209,0.04145276422360191,0.4117103230757915,-0.027972151260367478,0.0829055284472038,0.73609894372319,-0.1912512921541071,0.13530698963337215,1.0,False,0.8455284898122828,False,-0.028 (0.083)
tia_f,manip_check1_4,255,0.015590248214978009,0.0038243946079856705,0.13567725319986337,0.11514073087930296,0.23976896519175042,-0.09108783680040364,0.36244234320013036,-0.08503565455572912,0.05610416232303266,0.13085996762614746,0.01565476873475393,0.11220832464606532,0.8891549124495133,-0.20533506381908836,0.23664460128859624,1.0,False,0.9049223975771046,False,0.016 (0.112)
tia_pro,manip_check1_4,255,0.06856746572505013,0.05743480595283956,-0.005079930866722707,0.08048972500364021,0.9497269225452635,-0.16360124296157355,0.15344138122812814,0.1659982169909788,0.03921990560989419,3.243653879100892e-05,0.02814645408905398,0.07843981121978838,0.7200248980036335,-0.12633763433926282,0.18263054251737076,1.0,False,0.8455284898122828,False,0.028 (0.078)
tia_rc,manip_check1_4,255,0.13130960486453025,0.12092685113781154,-0.06837665909172813,0.06571090254387184,0.29907738820437013,-0.19779166814686328,0.06103834996340701,0.19127399587744168,0.03201868803993372,7.892509745955838e-09,-0.038028976094927766,0.06403737607986744,0.5531432857111258,-0.16414804133999977,0.08809008915014423,1.0,False,0.8293861621947037,False,-0.038 (0.064)
tia_t,manip_check1_4,255,0.07794987433047096,0.06692935490015783,-0.054616163888789745,0.09615061289508947,0.5705242709958667,-0.2439809718088608,0.13474864403128128,0.210716134328869,0.04685092366644732,1.0512109852482844e-05,-0.06729717448150907,0.09370184733289465,0.4732986099253632,-0.2518392360210421,0.11724488705802391,1.0,False,0.8293861621947037,False,-0.067 (0.094)
tia_up,manip_check1_4,255,0.13876812722072063,0.128474519179534,0.048129776537236005,0.08621530104057144,0.5771706286142205,-0.1216678298402966,0.2179273829147686,0.2671363958347205,0.04200978409091222,9.537127579863437e-10,-0.03672642521205441,0.08401956818182445,0.6624019574998474,-0.20219962305467637,0.12874677263056755,1.0,False,0.8455284898122828,False,-0.037 (0.084)
tia_f,page_submit,255,0.013595906756012743,0.0018062163985148594,0.1540536104666299,0.11603033107858975,0.18548304223345727,-0.0744635117442628,0.3825707326775226,-0.0002567552383006856,0.0007289815508484648,0.7249756545014563,-0.0014332470105290608,0.00145796310169693,0.3265306669246685,-0.004304647352081021,0.0014381533310228987,1.0,False,0.8293861621947037,False,-0.001 (0.001)
tia_pro,page_submit,255,0.016257322833991283,0.004499442230413542,-0.0076867629012397146,0.08327383554294453,0.9265277099622538,-0.17169126997144502,0.1563177441689656,-0.0010406150931926163,0.0005231829403130712,0.04778594912269777,0.0011770370092414417,0.0010463658806261426,0.26171403455372133,-0.000883738975775758,0.003237812994258641,1.0,False,0.8293861621947037,False,0.001 (0.001)
tia_rc,page_submit,255,0.012450995114168584,0.0006476205537802038,-0.0996239713683596,0.07053218218460121,0.15905287894521306,-0.23853429892023512,0.03928635618351592,9.753391190245488e-05,0.0004431311974696641,0.8259708907446093,0.0007596106329637918,0.0008862623949393284,0.3922102399912526,-0.0009858479047533315,0.002505069170680915,1.0,False,0.8293861621947037,False,0.001 (0.001)
tia_t,page_submit,255,0.0263178847749721,0.014680249931645073,-0.05723251832109667,0.09946870366033582,0.565548307940603,-0.25313217403363897,0.13866713739144565,-0.001351113049511281,0.0006249301297441345,0.031561703247158235,0.0025240031912085463,0.0012498602594882694,0.044505589867258215,6.245312055877528e-05,0.004985553261858317,1.0,False,0.47009677551715295,False,0.003 (0.001)
tia_up,page_submit,255,0.007051835105013171,-0.004816071248313403,0.0063654124056036765,0.09319458120409062,0.94559930271421,-0.177177608668632,0.18990843347983935,5.195270065983589e-05,0.0005855118201017279,0.9293669233949596,0.0013351155030271913,0.0011710236402034562,0.255320221677824,-0.0009711689814923547,0.003641399987546737,1.0,False,0.8293861621947037,False,0.001 (0.001)
